2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5082, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==>  Preparing: SELECT rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT CEIL(rn / ?) as page , rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT rownum as rn , bno , title , content , writer , regdate , viewcnt FROM board ORDER BY bno desc )) WHERE page = ?  
2018-05-04 15:21:27 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==> Parameters: 100(Integer), 1(Integer) 
2018-05-04 15:21:27 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] <==      Total: 100 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5121, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5120, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5119, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5118, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5117, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5116, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5115, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5114, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5113, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5112, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5111, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5110, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5109, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5108, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5107, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5106, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5105, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5104, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5103, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5102, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5101, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5100, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5099, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5098, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5097, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5096, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5095, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5094, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5093, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5092, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5091, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5090, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5089, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
